smiles,d,FEPA,FEHA,b_idx,n_idx
B(c1ccc(C)cc1)(c1ccc(C)cc1)c1onc(Cl)n1,2.59892669,-201.0411058,-99.31958296,0,20
B(c1c(F)c(F)c(Cl)c(F)c1(F))(c1c(F)c(F)c(Cl)c(F)c1(F))c1c(c8ccc(C)cc8)Nc(CCCC)n1,2.592360635,-218.2478552,-108.9220006,0,38
B(OC)(OC)c1c(Cl)cccc1C(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)N1(C(C(=O)[OH])CCCC1),3.919737926,-193.518162,-69.78002985,0,26
B(c1c(N(C)C)cccc1(N(C)C))(c1c(N(C)C)cccc1(N(C)C))C1C(C(C)(C)C)CC(c7ccc(N(C)C)cc7)CN1,2.395698808,-241.7480119,-56.19022844,0,43
B1(C2CCC1CCC2)N2C(OC)CN(CC1(c6c(OC)cccc6(OC)))C2=N1,3.211208198,-238.0934843,-68.77760101,0,27
B(c1c(F)c(Cl)c(F)c(Cl)c1(F))(c1c(F)c(Cl)c(F)c(Cl)c1(F))N2C(NC)CCN(CCC1(c8ccc(C)cc8))C2=N1,2.881465393,-226.8653735,-93.50055658,0,41
B(c1c(Cl)cc(F)cc1(Cl))(c1c(Cl)cc(F)cc1(Cl))c1snc([O][H])n1,2.618295155,-195.8244192,-117.3759889,0,24
B(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)C1C(c8ccc(C(F)(F)F)cc8)Cc2cccc(c8c(C)cc(C)cc8(C))c2N1,2.597187221,-181.7484268,-153.5412323,0,43
B(c1c(F)cc(Cl)cc1(F))(c1c(F)cc(Cl)cc1(F))C1C(c8c(F)cc(F)cc8(F))CC2CCCC(C(C)(C)C)N12,2.783608812,-222.3707321,-101.045476,0,40
B(c1c(F)cccc1)(c1c(F)cccc1)c1c([H])cccc1N=C(OC)n1(c2ncccc2cc1),2.967376063,-216.4201911,-88.71080195,0,21
B1(C2CCC1CCC2)Nc1c(CC(C)(C)C)cn(CCC)n1,2.900333826,-219.8990634,-56.56389337,0,21
B(C=C(C(=O)[Cl]))(C=C(C(=O)[Cl]))N2C(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)CCN(CCC1(c8ccc(C)cc8))C2C1N(c3cc(N(C)C)ccc3)(c3cc(N(C)C)ccc3),3.52232845,-203.781111,-110.2288305,0,28
B(c1ccc(C)s1)(c1ccc(C)s1)C1C(C(=O)OCC)CCC2CC(Cl)N12,2.497402212,-214.8832783,-91.30352894,0,26
B(c1c(Cl)c(Cl)ccc1(Cl))(c1c(Cl)c(Cl)ccc1(Cl))C(=C(OC))C(=C(Br))N(c7c(C)cc(C)cc7(C))(c7c(C)cc(C)cc7(C)),3.303899685,-206.1467503,-93.33701193,0,26
B1(N(c2ccccc2)C(C)=C(C)N1(c3ccccc3))c3c1c(CCC)cccc1ccc2cccc(CC(C)CC)c2c3N(CCC)(CCC),3.100620485,-217.7757754,-51.91540688,0,43
B1(Sc2ccccc2S1)C1(c8ccc(C(F)(F)F)cc8)CCCC(C12)CCCC2(CCCC)N1(CCNCC1),3.364014484,-218.1554851,-82.97437291,0,33
B(c1c(Cl)c(Cl)cc(Cl)c1(Cl))(c1c(Cl)c(Cl)cc(Cl)c1(Cl))Cc1c(S(=[O])(=[O])[O]CC)ccc(c6c(OC)cccc6(OC))n1,3.061355817,-218.0260181,-112.6488244,0,43
B1(N(c2ccccc2)C(C)=C(C)N1(c3ccccc3))N1C(c8ccc(C(F)(F)F)cc8)CC(CC)N1,2.523365691,-209.7416251,-68.96151436,0,35
B(c1c(F)c(F)c(F)c(F)c1(F))(c1c(F)c(F)c(F)c(F)c1(F))N2C(C)CCN(CCC1(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F))C2=N1,2.910638188,-200.0452327,-111.5068165,0,46
B(CCC)(CCC)C(c8c(F)cc(F)cc8(F))Cc1ccc2ccccc2c1c3c4ccccc4ccc3CC(c8c(C)cc(C)cc8(C))N(Cl)(Cl),6.870919093,-191.8609295,-84.78278138,0,49
B1(C2CCC1CCC2)Oc1c(C)ccc(CC(C)CC)n1,2.80317045,-217.0208378,-71.84293509,0,20
B(C1CCCC1)(C1CCCC1)/N=N\N(c6ccc(OC)cc6)(c6ccc(OC)cc6),2.349144632,-209.7739337,-60.38309882,0,12
B(c1ccc([N+](=O)([O-]))cc1)(c1ccc([N+](=O)([O-]))cc1)C1(c8ccc(C)cc8)CC1(c8ccc([N+](=O)([O-]))cc8)N1(CSCC1),4.095178945,-189.3804438,-119.176229,0,38
B(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)Cc1c(c6c(OC)cccc6(OC))ccc(c8ccc([N+](=O)([O-]))cc8)n1,3.308623691,-221.319572,-102.5626073,0,40
B(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)N1c(C(F)(F)F)cc(C(=O)OCC)n1,2.495085069,-193.8101146,-124.090282,0,52
B1(ccscc1)c1c(CCCC)cccc1c2cccc(CC(C)CC)c2N1(CCCCCC1),3.851754159,-225.358717,-69.38375583,0,27
B(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)N2C(CC(C)(C)C)CCP(CCC1(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F))C2N1,3.744652841,-188.9618022,-90.57645567,0,66
B(C=C(C(=O)CC))(C=C(C(=O)CC))c3c1c(N)cccc1ccc2cccc(c8c(C)cc(C)cc8(C))c2c3N(C(C)C)(C(C)C),3.144290282,-214.3699638,-81.11885134,0,16
B(c1c(OC)cccc1(OC))(c1c(OC)cccc1(OC))c1c(c8ccccc8)cc2cccc(c7ccc(N(C)C)cc7)N12,2.642997586,-193.4696768,-60.09387118,0,44
B(CC(C)(C)C)(CC(C)(C)C)N2C(c8cc(C(F)(F)F)cc(C(F)(F)F)c8)CCN(CCC1(NC))C2=N1,2.822145547,-228.4986513,-69.90382099,0,36
B(c1ccc(C)s1)(c1ccc(C)s1)C1C(c8cc(C(F)(F)F)cc(C(F)(F)F)c8)CC2CCCC([Si](C)(C)C)N12,2.623289772,-225.827429,-90.9658665,0,39
B(Cl)(Cl)N1c(C(C)(C)C)nc(N)n1,2.506150452,-204.953492,-106.2508264,0,12
B(c1cc([N+](=O)([O-]))ccc1)(c1cc([N+](=O)([O-]))ccc1)c1c(CC(C)CC)cnc(c8ccc(C(F)(F)F)cc8)n1,2.47206923,-205.869027,-116.0746406,0,39
B(c1c(Br)cccc1(Br))(c1c(Br)cccc1(Br))N1C([Si](C)(C)C)COC([H])N1(C=CCCCC),2.625378879,-193.4303664,-85.72366103,0,26
B(c1ccccc1)(c1ccccc1)C1N2C(F)COC2=C(CCCC)N1,2.595518455,-201.1521571,-87.4705206,0,14
B(c1c(Cl)c(Cl)cc(Cl)c1(Cl))(c1c(Cl)c(Cl)cc(Cl)c1(Cl))C1N(S(=[O])(=[O])[O]CC)C=C(c8c(F)cc(F)cc8(F))N1(C=C),2.647262877,-186.1255853,-119.214927,0,22
B(Br)(Br)c1c(N)nnN1(C=C(C(=O)CC)),2.621995288,-144.6660899,-117.2809313,0,8
B(Br)(Br)C1C(OC)NCC(S(=[O])(=[O])[O]CC)N1,2.533075232,-184.6634901,-123.6188247,0,16
B(c1c(F)c(F)c(Cl)c(F)c1(F))(c1c(F)c(F)c(Cl)c(F)c1(F))N2C(N)CCN(CCC1([Si](C)(C)C))C2C1N(CC)(CC),3.845593858,-195.9268969,-95.33943264,0,25
B(c1c(C)c(C)c(C)c(C)c1(C))(c1c(C)c(C)c(C)c(C)c1(C))c1c(C)ccc(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)n1,2.496769515,-209.7787749,-81.90650521,0,42
B(c1c(F)c(F)c(F)c(F)c1(F))(c1c(F)c(F)c(F)c(F)c1(F))c1c(NC)Sc(c8c(C)cc(C)cc8(C))n1,2.612597707,-210.5906955,-114.4483979,0,38
B(Cl)(Cl)C1C(c8ccc(C(F)(F)F)cc8)CC(CCC)CN1(CCCCC),2.549065415,-209.4985377,-105.8678707,0,21
B(C(F)(F)C(F)(F)F)(C(F)(F)C(F)(F)F)c1c(c7ccc(N(C)C)cc7)Sc(c8ccc(C)cc8)n1,2.481955926,-214.0082807,-129.4795541,0,35
B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))C1(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)CCC1(F)N1(CCCCCC1),3.221488943,-198.5813855,-118.3414503,0,41
B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))C(C(C)(C)C)Cc1ccc([Si](C)(C)C)N1(c4ccc([N+](=O)([O-]))cc4),3.950010505,-179.0050638,-109.4813699,0,37
B(c1c(F)c(F)cc(F)c1(F))(c1c(F)c(F)cc(F)c1(F))C1(c7ccc(N(C)C)cc7)CCC1(C)N(C=CC(C)(C)C)(C=CC(C)(C)C),3.083200444,-204.3473965,-104.179102,0,35
B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))N1C(S(=[O])(=[O])[O]CC)COC(c8ccc([N+](=O)([O-]))cc8)N1(C(C)CC),2.550662167,-189.9693977,-111.3783145,0,43
B(C1CCCCC1)(C1CCCCC1)C(F)CCC(F)N(c4c(C)c(C)c(C)c(C)c4(C))(c4c(C)c(C)c(C)c(C)c4(C)),4.917523862,-202.6664518,-80.46289528,0,19
B(c1c(F)ccc(F)c1(F))(c1c(F)ccc(F)c1(F))C(c6c(OC)cccc6(OC))c1ccc(c8ccc(C)cc8)N1(c4cc([N+](=O)([O-]))ccc4),3.95016946,-187.8041486,-108.6497995,0,41
B(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C(=C(N)C(F))n1(C(C)(C)CCc2ccccc12),2.827004402,-181.3605547,-135.0821572,0,32
B(F)(F)N1C(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)COC(c8c(F)cc(F)cc8(F))N1(C=CC(C)C),2.570420149,-174.6210456,-94.63574016,0,30
B(Cl)(Cl)C1C(C)CCC(CC(C)(C)C)C1N1(CCCCC1),3.329736099,-211.3181616,-93.95832824,0,15
B(c1c(Cl)c(Cl)ccc1(Cl))(c1c(Cl)c(Cl)ccc1(Cl))c1c(CCCC)cnc(N)n1,2.496377051,-218.9805051,-104.7776993,0,29
B(c1c(N(C)C)cccc1(N(C)C))(c1c(N(C)C)cccc1(N(C)C))c1c(CC(C)(C)C)cn(CCC)n1,2.515243612,-233.2797404,-56.10019466,0,37
B(c1c(F)c(F)cc(F)c1(F))(c1c(F)c(F)cc(F)c1(F))C1C(C)c2cccc(C(C)(C)C)c2N1,2.602580129,-202.8728229,-114.8922215,0,34
B(c1c(OC)cccc1(OC))(c1c(OC)cccc1(OC))c1c(c8ccc(C)cc8)cnc([O][H])n1,2.485641493,-226.2610671,-76.822071,0,34
B(C=C(C(=O)OC))(C=C(C(=O)OC))c1nc(C(C)(C)C)on1,2.570173088,-196.6847204,-101.2346854,0,21
B(c1c(Br)c(Br)cc(Br)c1(Br))(c1c(Br)c(Br)cc(Br)c1(Br))c1c(c8c(F)cc(F)cc8(F))cccc1CC([O][H])N1(C(C(=O)[OH])CC1),4.428536301,-204.2114805,-119.9693884,0,39
B(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)C1(c6c(OC)cccc6(OC))CCC1(C(F)(F)F)N(C(C)(C)C)(C(C)(C)C),6.078733318,-188.1057694,-131.1230635,0,45
B1(cc(c2ccccc2)ccc(c3ccccc3)c1)c1c2c(CCCC)cncc2c(c8c(F)cc(F)cc8(F))N1(c6ccc(Cl)cc6),2.584829944,-178.9320736,-84.63157458,0,40
B(C1CCCCC1)(C1CCCCC1)c1c(Br)cc2cccc(C)N12,2.730350054,-161.2994336,-74.24573865,0,23
B(C=C(C(=O)C(F)(F)F))(C=C(C(=O)C(F)(F)F))c1c(CCCC)Nc(Cl)n1,2.619836096,-197.6077567,-115.1900968,0,26
B(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)c1onc(c8c(C)cc(C)cc8(C))n1,2.58935268,-206.6208805,-121.4934133,0,52
B(CCC)(CCC)N2C(CCCC)CCC(CCC1(C(=O)OCC))C2=N1,2.893088243,-235.3980965,-64.95330837,0,25
B(c1c(Cl)cccc1)(c1c(Cl)cccc1)c1c(S(=[O])(=[O])[O]CC)Sc([O][H])n1,2.564106538,-199.6257912,-100.9105866,0,26
B(c1c(Br)c(Br)c(Br)c(Br)c1(Br))(c1c(Br)c(Br)c(Br)c(Br)c1(Br))c3c1c(c6c(OC)cccc6(OC))cccc1ccc2cccc(N)c2c3N(CC)(CC),4.054794235,-183.9665635,-93.65277045,0,50
B1(c2ccccc2c3ccccc31)C1([Si](C)(C)C)CCCC1([H])n1(C(C)(C)CCc2ccccc12),2.935033576,-214.0814839,-73.80510951,0,22
B(c1ccc(OC)cc1)(c1ccc(OC)cc1)N2C(c8cc(C(F)(F)F)cc(C(F)(F)F)c8)CN(CC1(C(=O)OCC))C2=N1,3.213387284,-225.1097285,-85.67303863,0,43
B(c1cc([N+](=O)([O-]))ccc1)(c1cc([N+](=O)([O-]))ccc1)N2C(c8cc(C(F)(F)F)cc(C(F)(F)F)c8)CCN(CCC1(CCCC))C2=N1,2.917715716,-223.076529,-99.40906656,0,46
B1(Sc2ccccc2S1)c1c(S(=[O])(=[O])[O]CC)cc2cccc(c6c(OC)cccc6(OC))N12,2.722847711,-164.6957127,-90.9161188,0,33
B(c1cc(Br)cc(Br)c1)(c1cc(Br)cc(Br)c1)N1c(c8ccc(C(F)(F)F)cc8)cc(NC)n1,2.492755395,-205.0174284,-113.9659501,0,33
B(Br)(Br)N(C(F)(F)F)N(c8ccc([N+](=O)([O-]))cc8)N(c4ccccc4)(c4ccccc4),2.631171864,-158.4319451,-138.7816322,0,8
