smiles,d,FEPA,FEHA,b_idx,n_idx
B(c1ccc(C)o1)(c1ccc(C)o1)N2C(C)CN(CC1(c8ccc([N+](=O)([O-]))cc8))C2=N1,3.11154094,-229.7953409,-80.33808377,0,30
B(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)C(=C(c8ccccc8)C(c8c(F)cc(F)cc8(F)))n1(c2ccccc2cc1),2.63575481,-190.5943492,-121.3833252,0,57
B(C=CC(C)(C)C)(C=CC(C)(C)C)C1C(C(=O)OCC)NCC(c8c(C)cc(C)cc8(C))N1,2.536852323,-221.4694264,-75.22278016,0,32
B(c1c(C)cccc1(C))(c1c(C)cccc1(C))c1c(F)cnc(Br)n1,2.517120698,-198.1751186,-94.69084687,0,24
B(CCC)(CCC)c1c(c8ccc(C(F)(F)F)cc8)ccc(c14)c(c23)cccc2cccc3c(c45)ccc(C(C)C)c5N(c7c(C)cc(C)cc7(C))(c7c(C)cc(C)cc7(C)),4.617214984,-205.1406583,-72.78138774,0,42
B1(N(c6c(F)c(F)c(F)c(F)c6(F))C(C)=C(C)N1(c5c(F)c(F)c(F)c(F)c5(F)))C(Br)=CC(C)N([Si](C)(C)C)([Si](C)(C)C),4.822684562,-216.2285398,-100.1477546,0,34
B(C=C(C(=O)OC))(C=C(C(=O)OC))c1c(S(=[O])(=[O])[O]CC)Nc(S(=[O])(=[O])[O]CC)n1,2.56053551,-195.9364094,-110.3373104,0,29
B(c1c(Cl)cc(F)cc1(Cl))(c1c(Cl)cc(F)cc1(Cl))C1C(c8c(F)cc(F)cc8(F))Cc2cccc(C(=O)OCC)c2N1(C=C(C(=O)([N+](=O)([O-])))),2.661140643,-183.0761156,-115.6487519,0,42
B(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)(C(c1c(F)c(F)c(F)c(F)c1(F))=Cc1ccccc1)c1c(c8cc(C(F)(F)F)cc(C(F)(F)F)c8)cc(c8c(F)cc(F)cc8(F))N1([Si](C)(C)C),2.560004035,-185.1602854,-118.3628723,0,66
B(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))(c1c(Cl)c(Cl)c(Cl)c(Cl)c1(Cl))c1c(c8ccccc8)ccc(c12)Oc(c23)ccc(C)c3N(C9CCCCC9)(C9CCCCC9),4.38520432,-213.9460552,-100.5181333,0,43
B(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)/N=N\N(CC)(CC),2.371884141,-198.1050341,-60.02137503,0,16
B(C=C(C(=O)OC))(C=C(C(=O)OC))C(CC(C)CC)CC(C(C)C)N1(COCC1),3.970287554,-203.6920655,-93.14078298,0,24
B1(C([Si](C)(C)C)=C1([Si](C)(C)C))N1c(c7ccc(N(C)C)cc7)nc(c8ccc(C(F)(F)F)cc8)n1,2.439406555,-222.3583386,-90.39520535,0,34
B(C=C(C(=O)C(F)(F)F))(C=C(C(=O)C(F)(F)F))c3c1c(c8ccc(C)cc8)cccc1ccc2cccc(C(=O)OCC)c2c3N1(CCN(c6ccccc6)CC1),2.887416506,-193.146836,-98.21003637,0,45
